Ciudad / Localidad,Departamento,1852,1867,1889,1908,1963,1975,1985,1996,2004,2011,2023
Artigas,Artigas,335,,,8857,23429,29256,35117,40244,41687,40658,43894
"Baltasar Brum, Artigas",Artigas,,,,1867,1764,1753,1627,2144,2472,2531,2728
Pueblo Yacaré (Bernabé Rivera),Artigas,,,,1954,683,540,461,421,524,380,389
Canelones,Canelones,,,,8523,14028,15988,17323,19388,19631,19865,24185
Empalme Olmos,Canelones,,,,,1973,2108,3144,3615,3978,4199,4921
Joaquín Suárez,Canelones,,,,1425,2357,3458,4175,5173,6124,6570,8353
Las Piedras,Canelones,,,,8109,40658,53331,58283,66584,69222,71268,61306
"Los Cerrillos, Canelones",Canelones,,,,,1221,1601,1763,1916,2080,2508,3564
Pando,Canelones,,,,7927,12876,16406,19795,23384,24004,25949,31191
San Jacinto,Canelones,,,,,1905,2244,2795,3596,3909,4864,5586
San Ramón,Canelones,,,,4956,5668,6594,7001,6828,6992,7133,7356
Santa Lucía,Canelones,,,,,12647,14079,14951,16764,16475,16742,17381
"Sauce, Canelones",Canelones,,,,6935,3227,3911,4294,4932,5797,6132,7446
Tala,Canelones,,,,9086,3223,3613,4197,4720,4939,5089,5779
Toledo,Canelones,,,,,1703,3065,3321,3487,4028,4397,6520
Melo,Cerro Largo,,,,12355,33741,38487,42245,46883,50578,51830,56013
Agraciada,Colonia,,,,2133,578,638,563,598,609,586,513
Colonia del Sacramento,Colonia,,,,8021,12846,17046,19102,22200,21714,26231,32174
"Juan Lacaze, Colonia",Colonia,,,,,11204,11595,12574,12988,13196,12816,12397
Nueva Helvecia,Colonia,,,,3701,8012,8587,8768,9650,10002,10630,11740
Nueva Palmira,Colonia,,,,4191,6307,7146,7151,8339,9230,9857,10775
"Rosario, Colonia",Colonia,,,,10682,7705,8292,8879,9428,9311,10085,10584
Durazno,Durazno,,,,10597,22203,25981,27834,30607,32128,34368,40279
Trinidad,Flores,,,,8317,15466,17587,18372,20031,20982,21429,22893
Florida,Florida,,,,10606,20934,25374,28443,31594,32128,33640,36471
Minas,Lavalleja,,,,13345,31256,35225,34658,37146,37925,38816,38336
Maldonado,Maldonado,,,,4421,14744,23409,38184,59570,71736,86782,102000
Piriápolis,Maldonado,,,,,4546,5240,5878,7570,7899,8830,12150
Punta del Este,Maldonado,,,,,5272,7197,6731,8294,7298,9277,18193
San Carlos,Maldonado,,,,5014,13457,16925,19878,24030,24771,27471,30293
"Aires Puros, Montevideo",Montevideo,,,,,,,,,,,
"Barrio Sur, Montevideo",Montevideo,,,,,,,,,,,
Montevideo,Montevideo,33994,,215061,309231,1202757,1237227,1311976,1344839,1325968,1319108,1302954
"Palermo, Montevideo",Montevideo,,,,,,,,,,,
"Casa Blanca, Paysandú",Paysandú,,,,,439,419,281,400,390,343,454
Paysandú,Paysandú,,,,20953,51645,62199,68466,74568,73292,76429,81550
Rivera,Rivera,,341,1000,8986,41266,48942,62193,71345,76795,78900,84775
Rocha,Rocha,,,,12200,19484,21502,24013,26017,25538,25422,26784
Fray Bentos,Río Negro,,,,7359,17094,19407,19862,21959,23122,24406,26967
Nuevo Berlín,Río Negro,,,,1454,1912,2659,2097,2366,2438,2450,2692
Salto,Salto,2882,,,19788,57975,73897,80821,93117,99072,104028,114084
San José de Mayo,San José,,3224,,12297,27482,28554,31825,34552,36339,36747,38553
Dolores,Soriano,,,,1963,12480,13322,13084,14784,15753,17174,18447
"El Tala, Soriano",Soriano,,,,,,,,,93,73,110
Mercedes,Soriano,,,,,,34518,36701,39320,42032,42032,43528
Paso de los Toros,Tacuarembó,,,,4963,11359,13032,13026,13315,13231,12985,14210
Treinta y Tres,Treinta y Tres,,,,7718,22557,23448,25116,26390,25711,24477,25890
