nombre,posicion,cant_mundiales,lista_mundiales,clubes_en_mundiales,paises_clubes,fecha_nacimiento,fecha_iso,lugar_nacimiento,depto,pais_nacimiento,Latitud,Longitud,wiki_enlace,url_imagen
Abel Hernández,Delantero,1,2014,UC Palermo,Italia,8 de agosto de 1990,8/8/1990,Pando,Canelones,Uruguay,-34.72128,-55.96005,https://es.wikipedia.org/wiki/Abel_Hernández_(futbolista),https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/abel_hernandez_auf.jpg
Agustín Canobbio,Centrocampista,2,"2022, 2026","Athletico Paranaense, Fluminense","Brasil, Brasil",1 de octubre de 1998,10/1/1998,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Agustín_Canobbio,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/canobbio-agustin-ct.jpg
Alberto Cardaccio,Centrocampista,1,1974,Danubio,Uruguay,26 de septiembre de 1949,9/26/1949,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Alberto_Cardaccio,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/alberto_cardaccio_.jpg
Alberto Gómez,Defensa,1,1970,Liverpool,Uruguay,10 de junio de 1944,6/10/1944,Paysandú,Paysandú,Uruguay,-32.31683,-58.08005,https://es.wikipedia.org/wiki/Alberto_Gómez_(futbolista),https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/alberto_gomez_.jpg
Alcides Ghiggia,Delantero,1,1950,Peñarol,Uruguay,22 de diciembre de 1926,12/22/1926,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Alcides_Ghiggia,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/alcides_ghiggia_.jpg
Alejandro Lembo,Defensa,1,2002,Nacional,Uruguay,15 de febrero de 1978,2/15/1978,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Alejandro_Lembo,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/alejandro_lembo_gettyimages.jpg
Alejandro Silva,Centrocampista,1,2014,Lanús,Argentina,4 de septiembre de 1989,9/4/1989,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Alejandro_Silva_González,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/alejandro_silva_gettyimages.jpg
Alfonso Domínguez,Defensa,1,1990,Peñarol,Uruguay,24 de septiembre de 1965,9/24/1965,Durazno,Durazno,Uruguay,-33.37896,-56.52452,https://es.wikipedia.org/wiki/Alfonso_Enrique_Domínguez,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/alfonso_dominguez_un.jpg
Andrés Scotti,Defensa,2,"2010, 2014","Colo-Colo, Nacional","Chile, Uruguay",14 de diciembre de 1975,12/14/1975,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Andrés_Scotti,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/andres_scotti_gettyimages.jpg
Angel Romano,Defensa,1,1930,Nacional,Uruguay,2 de agosto de 1893,1893-08-02,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Angel_Romano,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/angel_romano_.jpg
Antonio Alzamendi,Delantero,2,"1986, 1990","River Plate, Logroñés","Argentina, España",7 de junio de 1956,6/7/1956,Durazno,Durazno,Uruguay,-33.37896,-56.52452,https://es.wikipedia.org/wiki/Antonio_Alzamendi,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/antonio_alzamendi_un.jpg
Aníbal Paz,Guardameta,1,1950,Nacional,Uruguay,21 de mayo de 1917,5/21/1917,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Aníbal_Paz,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/anibal_paz_.jpg
Atilio Ancheta,Defensa,1,1970,Nacional,Uruguay,19 de julio de 1948,7/19/1948,Florida,Florida,Uruguay,-34.09446,-56.21859,https://es.wikipedia.org/wiki/Atilio_Ancheta,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/atilio_ancheta_.jpg
Baudilio Jáuregui,Defensa,1,1974,River Plate,Argentina,9 de julio de 1945,7/9/1945,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Baudilio_Jáuregui,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/baudilio_jauregui_anefo.jpg
Carlos Aguilera,Delantero,2,"1986, 1990","Nacional, Genoa","Uruguay, Italia",21 de septiembre de 1964,9/21/1964,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Carlos_Alberto_Aguilera,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/aguileracarlos.jpg
Carlos Borges,Delantero,1,1954,Peñarol,Uruguay,14 de enero de 1932,1/14/1932,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Carlos_Borges,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/carlos_borges_.jpg
Carlos Riolfo,Centrocampista,1,1930,Peñarol,Uruguay,5 de noviembre de 1905,11/5/1905,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Carlos_Riolfo,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/carlos_riolfo_2.jpg
Carlos Romero,Centrocampista,1,1950,Danubio,Uruguay,7 de septiembre de 1927,9/7/1927,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Carlos_Romero_(futbolista_uruguayo),https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/carlos_romero_2.jpg
Carlos Sánchez,Centrocampista,1,2018,Monterrey,México,2 de diciembre de 1984,12/2/1984,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Carlos_Andrés_Sánchez,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/carlos_sanchez_gettyimages2.jpg
Celso Otero,Guardameta,1,1986,Montevideo Wanderers,Uruguay,1 de febrero de 1958,2/1/1958,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://www.auf.org.uy/celso-otero-quintas/,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/celso_otero_un.jpg
Christian Stuani,Delantero,2,"2014, 2018","RCD Español, Girona","España, España",12 de octubre de 1986,10/12/1986,Tala,Canelones,Uruguay,-34.34346,-55.76313,https://es.wikipedia.org/wiki/Christian_Stuani,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/cristhian_stuani_auf.jpg
Conduelo Píriz,Centrocampista,1,1930,Nacional,Uruguay,9 de octubre de 1904,10/9/1904,Durazno,Durazno,Uruguay,-33.37896,-56.52452,https://es.wikipedia.org/wiki/Conduelo_Píriz,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/conduelo_piriz_.jpg
Cristian Rodríguez,Centrocampista,2,"2014, 2018","Atlético de Madrid, Peñarol","España, Uruguay",30 de septiembre de 1985,9/30/1985,"Juan Lacaze, Colonia",Colonia,Uruguay,-34.43126,-57.44229,https://es.wikipedia.org/wiki/Cristian_Rodríguez,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/cristian_rodriguez_auf.jpg
César Vega,Defensa,1,1986,Danubio,Uruguay,2 de septiembre de 1959,9/2/1959,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://www.auf.org.uy/cesar-vega/,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/cesar_vega_giovinatti.jpg
Dagoberto Fontes,Delantero,1,1970,Defensor,Uruguay,6 de junio de 1943,6/6/1943,Maldonado,Maldonado,Uruguay,-34.89794,-54.95004,https://es.wikipedia.org/wiki/Dagoberto_Fontes,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/dagoberto_fontes_.jpg
Daniel Fonseca,Delantero,1,1990,Nacional,Uruguay,13 de septiembre de 1969,9/13/1969,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Daniel_Fonseca,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/fonsecadaniel.jpg
Darwin Núñez,Delantero,2,"2022, 2026","Liverpool, Al-Hilal","Inglaterra, Arabia Saudita",24 de junio de 1999,6/24/1999,Artigas,Artigas,Uruguay,-30.40432,-56.46923,https://es.wikipedia.org/wiki/Darwin_Núñez,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/nunez-darwin-ct.jpg
Darío Pereyra,Defensa,1,1986,São Paulo,Brasil,19 de octubre de 1956,10/19/1956,"Sauce, Canelones",Canelones,Uruguay,-34.65021,-56.06534,https://es.wikipedia.org/wiki/Darío_Pereyra,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/dario_pereyra_.jpg
Darío Rodríguez,Defensa,1,2002,Peñarol,Uruguay,17 de septiembre de 1974,9/17/1974,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Darío_Rodríguez,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/dario_rodriguez_afp.jpg
Darío Silva,Delantero,1,2002,Málaga,España,2 de noviembre de 1972,11/2/1972,Treinta y Tres,Treinta y Tres,Uruguay,-33.23214,-54.38668,https://es.wikipedia.org/wiki/Darío_Silva,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/dario_silva_gettyimages.jpg
Denis Milar,Delantero,1,1974,Liverpool,Uruguay,20 de junio de 1952,6/20/1952,Rocha,Rocha,Uruguay,-34.48107,-54.32904,https://es.wikipedia.org/wiki/Denis_Milar,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/denis_milar_gv.jpg
Diego Forlán,Delantero,3,"2002, 2010, 2014","Manchester United, Atlético de Madrid, Cerezo Osaka","Inglaterra, España, Japón",19 de mayo de 1979,5/19/1979,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Diego_Forlán,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/diego_forlan_gettyimages.jpg
Diego Godín,Defensa,4,"2010, 2014, 2018, 2022","Villarreal, Atlético de Madrid, Atlético de Madrid, Vélez Sarsfield","España, España, España, Argentina",16 de febrero de 1986,2/16/1986,"Rosario, Colonia",Colonia,Uruguay,-34.31210,-57.35094,https://es.wikipedia.org/wiki/Diego_Godín,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/godin-diego-2022.jpg
Diego Laxalt,Centrocampista,1,2018,Genoa,Italia,7 de febrero de 1993,2/7/1993,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Diego_Laxalt,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/diego_laxalt_auf.jpg
Diego Lugano,Defensa,2,"2010, 2014","Fenerbahçe, West Bromwich Albion","Turquía, Inglaterra",2 de noviembre de 1980,11/2/1980,Canelones,Canelones,Uruguay,-34.52468,-56.28121,https://es.wikipedia.org/wiki/Diego_Lugano,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/diego_lugano_gettyimages.jpg
Diego Pérez,Centrocampista,2,"2010, 2014","Mónaco, Bologna","Francia, Italia",18 de mayo de 1980,5/18/1980,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Diego_Pérez_Aguado,https://img.a.transfermarkt.technology/portrait/big/s_20378_1025_2013_09_23_1.jpg?lm=1
Domingo Pérez,Delantero,2,"1962, 1966",Nacional,Uruguay,7 de junio de 1936,6/7/1936,Paysandú,Paysandú,Uruguay,-32.31683,-58.08005,https://es.wikipedia.org/wiki/Domingo_Salvador_Pérez,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/domingo_perez_2.jpg
Domingo Tejera,Defensa,1,1930,Montevideo Wanderers,Uruguay,27 de septiembre de 1899,9/27/1899,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Domingo_Tejera,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/domingo_tejera_2.jpg
Edgardo González,Defensa,1,1962,Peñarol,Uruguay,30 de septiebre de 1936,9/30/1936,Colonia del Sacramento,Colonia,Uruguay,-34.46353,-57.83460,https://www.auf.org.uy/edgardo-gonzalez/,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/edgardo_gonzalez_.jpg
Edinson Cavani,Delantero,4,"2010, 2014, 2018, 2022","Palermo, Paris Saint-Germain, París Saint-Germain, Valencia","Italia, Francia, Francia, España",14 de febrero de 1987,2/14/1987,Salto,Salto,Uruguay,-31.38794,-57.96118,https://es.wikipedia.org/wiki/Edinson_Cavani,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/cavani-2022.jpg
Eduardo Acevedo,Defensa,1,1986,Defensor,Uruguay,25 de septiembre de 1959,9/25/1959,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Eduardo_Mario_Acevedo,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/eduardo_acevedo_.jpg
Eduardo Pereira,Guardameta,1,1990,Independiente,Argentina,21 de marzo de 1954,3/21/1954,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Eduardo_Pereira,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/eduardo_pereira_un.jpg
Egidio Arévalo Ríos,Centrocampista,2,"2010, 2014","Peñarol, Monarcas Morelia","Uruguay, México",1 de enero de 1982,1/1/1982,Paysandú,Paysandú,Uruguay,-32.31683,-58.08005,https://es.wikipedia.org/wiki/Egidio_Arévalo_Ríos,https://upload.wikimedia.org/wikipedia/commons/8/8c/U17_Egidio_Ar%C3%A9valo_R%C3%ADos_7559.jpg
Eliseo Rivero,Defensa,1,1986,Peñarol,Uruguay,27 de diciembre de 1957,12/27/1957,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Eliseo_Rivero,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/eliseo_rivero_un.jpg
Eliseo Álvarez,Defensa,2,"1962, 1966","Nacional, Rampla Juniors",Uruguay,9 de agosto de 1940,8/9/1940,Salto,Salto,Uruguay,-31.38794,-57.96118,https://en.wikipedia.org/wiki/Eliseo_%C3%81lvarez,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/eliseo_alvarez_.jpg
Emilio Recoba,Defensa,1,1930,Nacional,Uruguay,3 de noviembre de 1903,11/3/1903,"Palermo, Montevideo",Montevideo,Uruguay,-34.91068,-56.17980,https://es.wikipedia.org/wiki/Emilio_Recoba,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/emilio_recoba_.jpg
Emilio Álvarez,Defensa,2,"1962, 1966",Nacional,Uruguay,10 de febrero de 1939,2/10/1939,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Emilio_Walter_Álvarez,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/emilio_alvarez_.jpg
